objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
"Above and Below","172818","0","","0","0","0","0","0","0","0","0","1","3","","","","","","56677455","7.26791","7.52587","2.5371","179","14704","thing","Above and Below","2","4","90","90","90","2015","2,3,4","3","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Agricola","31260","0","","0","1","0","0","0","0","0","0","0","3","","","","","","49037721","7.89933","8.00025","3.6343","22","67042","thing","Agricola","1","5","150","150","30","2013","1,2,3,4,5","3,4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","Filosofia Éditions; Lookout Games; Z-Man Games","English","2013","Z-Man Games English fifth edition 2013"
"Apocrypha Adventure Card Game","175254","0","","0","1","0","0","0","0","0","0","0","3","","","","","","44632263","5.71408","6.95428","3.7692","4067","1147","thing","Apocrypha Adventure Card Game","1","6","60","0","60","2017","1,2,3","1,2,3","14+","","","","","","","standalone","","","","","","","","","","","","","","",""
"Apocrypha Adventure Card Game: Box Three – The Devil","256596","0","","0","1","0","0","0","0","0","0","0","3","","","","","","56631531","0","7.5","0","0","264","thing","Apocrypha Adventure Card Game: Box Three – The Devil","1","6","60","60","60","2018","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Apocrypha Adventure Card Game: Box Two – The Flesh","256595","0","","0","1","0","0","0","0","0","0","0","3","","","","","","56631528","0","7.5","0","0","268","thing","Apocrypha Adventure Card Game: Box Two – The Flesh","1","6","60","60","60","2018","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Apocrypha Adventure Card Game: Contract Poison Promo Card","234186","0","","0","1","0","0","0","0","0","0","0","1","","","","","","48946328","0","7.5","0","0","114","thing","Apocrypha Adventure Card Game: Contract Poison Promo Card","1","6","60","60","60","2017","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Apocrypha Adventure Card Game: Monster Truck Promo Card","234385","0","","0","1","0","0","0","0","0","0","0","1","","","","","","48946342","0","6.92857","0","0","162","thing","Apocrypha Adventure Card Game: Monster Truck Promo Card","1","6","90","90","60","2017","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Apocrypha Adventure Card Game: The Book of the Hybrids","256600","0","","0","1","0","0","0","0","0","0","0","3","","","","","","56631544","0","7.16667","0","0","163","thing","Apocrypha Adventure Card Game: The Book of the Hybrids","1","6","60","60","60","2018","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Apocrypha Adventure Card Game: The Saint One Promo Card","234188","0","","0","1","0","0","0","0","0","0","0","1","","","","","","48946323","0","6.58333","0","0","157","thing","Apocrypha Adventure Card Game: The Saint One Promo Card","1","6","60","60","60","2017","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Apocrypha Adventure Card Game: Universal Product Promo Card","234389","0","","0","1","0","0","0","0","0","0","0","1","","","","","","48946332","0","6.58333","0","0","170","thing","Apocrypha Adventure Card Game: Universal Product Promo Card","1","6","90","90","60","2017","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Apocrypha Adventure Card Game: Viral Content Promo Card","234387","0","","0","1","0","0","0","0","0","0","0","1","","","","","","48946336","0","6.3","0","0","154","thing","Apocrypha Adventure Card Game: Viral Content Promo Card","1","6","90","90","60","2017","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Apples to Apples","74","0","","0","1","0","0","0","0","0","0","0","3","","","","","","42468500","5.76553","5.86909","1.1643","3551","22420","thing","Apples to Apples","4","10","30","30","30","1999","4,5,6,7,8,9,10","6,7,8","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Attack the Darkness","131496","0","","0","1","0","0","0","0","0","0","0","3","","","","","","42328760","5.50943","6.1878","3.75","12654","72","thing","Attack the Darkness","1","8","90","90","90","2013","1,2,3,4,5,6","3,4,5","14","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Bananagrams","27225","0","","0","1","0","0","0","0","0","0","0","3","","","","","","42468287","6.17548","6.35218","1.3571","1597","11943","thing","Bananagrams","1","8","15","15","15","2006","2,3,4,5,6","3,4,5","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"The Big Book of Madness","171233","0","","0","1","0","0","0","0","0","0","0","1","","","","","","33147518","6.67048","7.0512","2.7143","683","7522","thing","The Big Book of Madness","2","5","90","90","60","2015","2,3,4","3","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Boss Monster: The Dungeon Building Card Game","131835","0","","0","1","0","0","0","0","0","0","0","3","","","","","","42468312","6.14633","6.31778","1.8142","1676","21002","thing","Boss Monster: The Dungeon Building Card Game","2","4","20","20","20","2013","2,3,4","4","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Bottom of the 9th","166286","0","","0","1","0","0","0","0","0","0","0","3","","","","","","42468320","6.26358","6.91633","1.7083","1386","3724","thing","Bottom of the 9th","1","2","20","20","5","2015","1,2","2","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Bottom of the 9th: Big League Support","181935","0","","0","1","0","0","0","0","0","0","0","3","","","","","","42468330","5.70136","7.24444","1.5","0","1134","thing","Bottom of the 9th: Big League Support","1","2","15","15","5","2015","1,2","","8+","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","","","","","","","","","","","","","",""
"Bottom of the 9th: Blüdle the Noodle","174294","0","","0","1","0","0","0","0","0","0","0","3","","","","","","42468331","0","7","0","0","163","thing","Bottom of the 9th: Blüdle the Noodle","1","2","15","15","5","2015","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Bottom of the 9th: Clubhouse Expansion","197971","0","","0","1","0","0","0","0","0","0","0","3","","","","","","42468332","5.57687","7.56792","3","0","737","thing","Bottom of the 9th: Clubhouse Expansion","1","2","15","15","5","2017","1,2","1,2","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Bottom of the 9th: Fanatic","181922","0","","0","1","0","0","0","0","0","0","0","3","","","","","","42468335","0","6.88636","0","0","269","thing","Bottom of the 9th: Fanatic","1","2","15","15","5","2015","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Bottom of the 9th: Hitters Pack","234831","0","","0","1","0","0","0","0","0","0","0","1","","","","","","48946519","0","7.54167","3","0","330","thing","Bottom of the 9th: Hitters Pack","2","2","20","20","5","2017","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Bottom of the 9th: Pitchers Pack","234832","0","","0","1","0","0","0","0","0","0","0","1","","","","","","48946525","0","7.59091","3","0","327","thing","Bottom of the 9th: Pitchers Pack","2","2","20","20","5","2017","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Bottom of the 9th: Scholar","181927","0","","0","1","0","0","0","0","0","0","0","3","","","","","","42468345","0","6.84783","0","0","279","thing","Bottom of the 9th: Scholar","1","2","15","15","5","2015","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Bottom of the 9th: Season 1 Promo Pack","197579","0","","0","1","0","0","0","0","0","0","0","3","","","","","","42468337","5.55285","7.2975","2","0","410","thing","Bottom of the 9th: Season 1 Promo Pack","1","2","20","20","5","2015","1,2","","12+","","","","","","","expansion","","","","","","","","","","","","","","",""
"Bottom of the 9th: Sentinels of the Ninth","181933","0","","0","1","0","0","0","0","0","0","0","3","","","","","","42468323","5.66802","7.07838","1.5","0","1129","thing","Bottom of the 9th: Sentinels of the Ninth","1","2","15","15","5","2015","1,2","","8+","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","","","","","","","","","","","","","",""
"Bottom of the 9th: Unity","181924","0","","0","1","0","0","0","0","0","0","0","3","","","","","","42468342","0","7.02273","0","0","275","thing","Bottom of the 9th: Unity","1","2","15","15","5","2015","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Bottom of the 9th: Wraith","181930","0","","0","1","0","0","0","0","0","0","0","3","","","","","","42468348","0","6.97727","0","0","271","thing","Bottom of the 9th: Wraith","1","2","15","15","5","2015","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Carcassonne","822","0","","0","1","0","0","0","0","0","0","0","3","","","","","","42331163","7.32622","7.42969","1.9267","143","116787","thing","Carcassonne","2","5","45","45","30","2000","2,3,4,5","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Castle Dice","129320","0","","0","1","0","0","0","0","0","0","0","3","","","","","","42331201","6.00591","6.72351","2.2712","2145","1476","thing","Castle Dice","1","4","45","45","45","2013","1,2,3,4","4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Castle Dice: More Castles!","159372","0","","0","1","0","0","0","0","0","0","0","3","","","","","","42331205","5.59666","7.00602","0","0","502","thing","Castle Dice: More Castles!","1","4","45","45","45","2014","1,2,3,4","4","6+","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","","","","","","","","","","","","","",""
"Castle Panic","43443","0","","0","1","0","0","0","0","0","0","0","3","","","","","","42328817","6.53539","6.68151","1.6672","853","20461","thing","Castle Panic","1","6","60","60","60","2009","1,2,3,4,5,6","4","6+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Castle Panic: The Dark Titan","169784","0","","0","0","0","0","0","0","0","0","1","2","","","","","","42332047","6.16324","7.36879","1.9545","0","3184","thing","Castle Panic: The Dark Titan","1","6","60","60","60","2015","1,2,3,4,6","","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","","","",""
"Castle Panic: The Wizard's Tower","104590","0","","0","1","0","0","0","0","0","0","0","3","","","","","","42328819","6.88787","7.49835","2.0741","0","7903","thing","Castle Panic: The Wizard's Tower","1","6","90","90","90","2011","1,2,3,4,5","3","8+","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","","","","","","","","","","","","","",""
"The Castles of Burgundy","84876","0","","0","1","0","0","0","0","0","0","0","3","","","","","","42468505","8.01125","8.12903","3.0207","12","48816","thing","The Castles of Burgundy","2","4","90","90","30","2011","2,3,4","2","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
